index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
110,1000,0.50,500,2,17,0.5000,1.0,10,342.00,0.074270
111,1000,0.50,500,2,17,0.5000,1.0,11,347.00,0.162266
112,1000,0.50,500,2,17,0.5000,1.0,12,305.00,0.328809
113,1000,0.50,500,2,17,0.5000,1.0,13,325.00,0.982850
114,1000,0.50,500,2,17,0.5000,1.0,14,316.00,0.226845
115,1000,0.50,500,2,17,0.5000,1.0,15,322.00,1.237229
116,1000,0.50,500,2,17,0.5000,1.0,16,309.00,3.951253
117,1000,0.50,500,2,17,0.5000,1.0,17,351.00,0.338741
118,1000,0.50,500,2,17,0.5000,1.0,18,306.00,0.728152
119,1000,0.50,500,2,17,0.5000,1.0,19,316.00,0.272862
120,1000,0.50,500,2,17,0.5000,1.0,20,332.00,3.616015
121,1000,0.50,500,2,17,0.5000,1.0,21,310.00,0.693516
122,1000,0.50,500,2,17,0.5000,1.0,22,311.00,0.161597
123,1000,0.50,500,2,17,0.5000,1.0,23,321.00,1.692485
124,1000,0.50,500,2,17,0.5000,1.0,24,320.00,2.636468
125,1000,0.50,500,2,17,0.5000,1.0,25,336.00,0.742873
126,1000,0.50,500,2,17,0.5000,1.0,26,325.00,0.706923
127,1000,0.50,500,2,17,0.5000,1.0,27,326.00,1.445037
128,1000,0.50,500,2,17,0.5000,1.0,28,323.00,0.447211
129,1000,0.50,500,2,17,0.5000,1.0,29,310.00,0.441195
130,1000,0.50,500,2,17,0.5000,1.0,30,322.00,0.291038
131,1000,0.50,500,2,17,0.5000,1.0,31,343.00,0.098020
132,1000,0.50,500,2,17,0.5000,1.0,32,361.00,0.080125
133,1000,0.50,500,2,17,0.5000,1.0,33,314.00,3.298839
134,1000,0.50,500,2,17,0.5000,1.0,34,340.00,1.411642
135,1000,0.50,500,2,17,0.5000,1.0,35,304.00,2.197178
136,1000,0.50,500,2,17,0.5000,1.0,36,303.00,0.311798
137,1000,0.50,500,2,17,0.5000,1.0,37,310.00,0.425390
138,1000,0.50,500,2,17,0.5000,1.0,38,303.00,2.071189
