index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
173,1000,0.50,500,2,20,0.9625,73,394.00,0.131523
174,1000,0.50,500,2,20,0.9736,74,388.00,0.213669
175,1000,0.50,500,2,20,0.9768,75,398.00,0.130639
176,1000,0.50,500,2,20,0.9882,76,407.00,1.140917
177,1000,0.50,500,2,20,1.0166,77,274.00,0.234991
178,1000,0.50,500,2,20,0.9523,78,406.00,0.045725
179,1000,0.50,500,2,20,1.0505,79,419.00,0.324881
180,1000,0.50,500,2,20,0.9247,80,410.00,0.398858
181,1000,0.50,500,2,20,0.9678,81,449.00,0.954796
182,1000,0.50,500,2,20,0.9435,82,442.00,0.467734
183,1000,0.50,500,2,20,1.0099,83,419.00,0.231618
184,1000,0.50,500,2,20,1.0211,84,416.00,1.278180
185,1000,0.50,500,2,20,0.9696,85,408.00,0.273894
186,1000,0.50,500,2,20,0.9732,86,376.00,0.132680
187,1000,0.50,500,2,20,0.9674,87,380.00,0.034735
188,1000,0.50,500,2,20,0.9922,88,431.00,1.371112
189,1000,0.50,500,2,20,0.9509,89,419.00,0.683104
190,1000,0.50,500,2,20,1.0038,90,378.00,0.252577
191,1000,0.50,500,2,20,1.0609,91,398.00,0.059439
192,1000,0.50,500,2,20,1.0405,92,440.00,0.368737
193,1000,0.50,500,2,20,0.9821,93,402.00,0.968014
194,1000,0.50,500,2,20,0.9717,94,413.00,0.554756
195,1000,0.50,500,2,20,0.9182,95,410.00,0.100278
196,1000,0.50,500,2,20,1.0284,96,409.00,1.073018
197,1000,0.50,500,2,20,0.9593,97,393.00,0.177285
198,1000,0.50,500,2,20,1.0073,98,414.00,0.162998
199,1000,0.50,500,2,20,1.0532,99,391.00,0.350646
200,1000,0.50,500,2,30,0.9979,0,597.00,0.177306
201,1000,0.50,500,2,30,1.0624,1,655.00,0.739694
202,1000,0.50,500,2,30,0.9517,2,594.00,0.650461
203,1000,0.50,500,2,30,1.0130,3,619.00,0.163502
204,1000,0.50,500,2,30,1.0360,4,599.00,0.266832
205,1000,0.50,500,2,30,1.0023,5,587.00,0.343385
206,1000,0.50,500,2,30,1.0211,6,611.00,0.043961
207,1000,0.50,500,2,30,0.9802,7,619.00,0.128257
208,1000,0.50,500,2,30,0.9746,8,600.00,0.006977
209,1000,0.50,500,2,30,1.0543,9,647.00,1.415272
210,1000,0.50,500,2,30,0.9585,10,624.00,1.230796
211,1000,0.50,500,2,30,0.9408,11,533.00,0.264481
212,1000,0.50,500,2,30,0.9691,12,571.00,0.205627
213,1000,0.50,500,2,30,0.9597,13,629.00,0.242913
214,1000,0.50,500,2,30,0.9998,14,626.00,0.745691
215,1000,0.50,500,2,30,1.0341,15,328.00,0.112317
216,1000,0.50,500,2,30,1.0069,16,598.00,1.268884
217,1000,0.50,500,2,30,0.9385,17,616.00,0.987072
218,1000,0.50,500,2,30,1.0083,18,596.00,0.097681
219,1000,0.50,500,2,30,1.0058,19,627.00,0.740420
220,1000,0.50,500,2,30,1.0340,20,597.00,0.601893
221,1000,0.50,500,2,30,1.0083,21,653.00,2.404574
222,1000,0.50,500,2,30,1.0041,22,651.00,0.778497
223,1000,0.50,500,2,30,1.0413,23,616.00,0.065496
224,1000,0.50,500,2,30,1.0453,24,593.00,0.192239
225,1000,0.50,500,2,30,1.0367,25,623.00,0.630088
226,1000,0.50,500,2,30,1.0156,26,591.00,0.049643
227,1000,0.50,500,2,30,1.0224,27,151.00,0.176523
228,1000,0.50,500,2,30,1.0058,28,643.00,0.514079
229,1000,0.50,500,2,30,1.0930,29,649.00,0.329808
230,1000,0.50,500,2,30,0.9439,30,571.00,0.198988
231,1000,0.50,500,2,30,0.9641,31,579.00,0.493194
232,1000,0.50,500,2,30,0.9701,32,589.00,0.423706
233,1000,0.50,500,2,30,1.0219,33,629.00,0.368064
234,1000,0.50,500,2,30,0.9804,34,556.00,0.176823
235,1000,0.50,500,2,30,1.0628,35,611.00,0.613982
236,1000,0.50,500,2,30,0.9863,36,572.00,0.098983
237,1000,0.50,500,2,30,0.9416,37,636.00,0.170355
238,1000,0.50,500,2,30,1.0194,38,585.00,0.319016
239,1000,0.50,500,2,30,0.9671,39,580.00,0.109483
240,1000,0.50,500,2,30,0.9887,40,581.00,0.288181
241,1000,0.50,500,2,30,1.0857,41,596.00,5.134803
242,1000,0.50,500,2,30,0.9779,42,566.00,0.366733
243,1000,0.50,500,2,30,1.0235,43,630.00,0.526758
244,1000,0.50,500,2,30,0.9998,44,560.00,0.161547
245,1000,0.50,500,2,30,1.0574,45,605.00,0.110168
246,1000,0.50,500,2,30,0.9686,46,620.00,0.039467
247,1000,0.50,500,2,30,1.0329,47,621.00,0.306929
248,1000,0.50,500,2,30,0.9653,48,634.00,1.091781
249,1000,0.50,500,2,30,1.0025,49,570.00,0.488638
250,1000,0.50,500,2,30,0.9875,50,545.00,0.135549
251,1000,0.50,500,2,30,0.9291,51,557.00,0.058669
252,1000,0.50,500,2,30,1.0267,52,591.00,0.214190
253,1000,0.50,500,2,30,0.9864,53,603.00,0.398532
254,1000,0.50,500,2,30,1.0238,54,597.00,0.378275
255,1000,0.50,500,2,30,1.0012,55,591.00,0.432779
256,1000,0.50,500,2,30,0.9674,56,606.00,0.152198
257,1000,0.50,500,2,30,1.0336,57,575.00,0.096604
258,1000,0.50,500,2,30,1.0009,58,614.00,0.571450
259,1000,0.50,500,2,30,1.0472,59,628.00,0.998672
260,1000,0.50,500,2,30,1.0449,60,619.00,0.777270
261,1000,0.50,500,2,30,1.0233,61,612.00,0.317764
262,1000,0.50,500,2,30,1.0270,62,603.00,0.251238
263,1000,0.50,500,2,30,0.9743,63,625.00,0.241515
264,1000,0.50,500,2,30,0.9771,64,586.00,0.719776
265,1000,0.50,500,2,30,1.0198,65,646.00,0.177277
266,1000,0.50,500,2,30,1.0202,66,567.00,0.264070
267,1000,0.50,500,2,30,1.0088,67,573.00,0.299171
268,1000,0.50,500,2,30,1.0042,68,634.00,1.103580
269,1000,0.50,500,2,30,0.9578,69,614.00,0.897022
270,1000,0.50,500,2,30,0.9752,70,584.00,0.078569
271,1000,0.50,500,2,30,0.9833,71,594.00,0.212086
272,1000,0.50,500,2,30,0.9701,72,610.00,0.204068
273,1000,0.50,500,2,30,1.0025,73,612.00,0.276111
274,1000,0.50,500,2,30,0.9881,74,611.00,0.118361
275,1000,0.50,500,2,30,0.9975,75,616.00,0.553079
276,1000,0.50,500,2,30,0.9971,76,618.00,1.222319
277,1000,0.50,500,2,30,0.9929,77,590.00,0.215504
278,1000,0.50,500,2,30,0.9757,78,607.00,0.114921
279,1000,0.50,500,2,30,0.9910,79,583.00,0.364778
280,1000,0.50,500,2,30,1.0315,80,616.00,0.671241
281,1000,0.50,500,2,30,1.0438,81,588.00,0.301502
282,1000,0.50,500,2,30,0.9981,82,591.00,0.240162
283,1000,0.50,500,2,30,0.9890,83,623.00,0.429772
284,1000,0.50,500,2,30,0.9966,84,647.00,0.354370
285,1000,0.50,500,2,30,0.9742,85,589.00,0.185899
286,1000,0.50,500,2,30,0.9874,86,605.00,0.417199
287,1000,0.50,500,2,30,0.9919,87,602.00,0.213936
288,1000,0.50,500,2,30,1.0180,88,608.00,0.350819
289,1000,0.50,500,2,30,1.0090,89,627.00,0.187532
290,1000,0.50,500,2,30,0.9574,90,599.00,0.009650
291,1000,0.50,500,2,30,0.9729,91,555.00,0.273090
292,1000,0.50,500,2,30,1.0399,92,629.00,0.425767
293,1000,0.50,500,2,30,1.0444,93,590.00,0.325041
294,1000,0.50,500,2,30,0.9439,94,593.00,0.198834
295,1000,0.50,500,2,30,0.9861,95,600.00,0.313217
296,1000,0.50,500,2,30,1.0067,96,603.00,0.435934
297,1000,0.50,500,2,30,0.9465,97,604.00,0.422740
298,1000,0.50,500,2,30,0.9980,98,171.00,0.302680
299,1000,0.50,500,2,30,1.0095,99,574.00,0.309947
300,1000,0.50,500,2,40,0.9875,0,738.00,0.275648
301,1000,0.50,500,2,40,0.9798,1,755.00,0.118371
302,1000,0.50,500,2,40,1.0666,2,847.00,1.269645
303,1000,0.50,500,2,40,0.9989,3,749.00,0.271405
304,1000,0.50,500,2,40,1.0084,4,810.00,1.093004
305,1000,0.50,500,2,40,0.9907,5,741.00,0.107209
306,1000,0.50,500,2,40,0.9794,6,822.00,0.146325
307,1000,0.50,500,2,40,0.9748,7,742.00,0.288514
308,1000,0.50,500,2,40,0.9897,8,839.00,0.734165
309,1000,0.50,500,2,40,0.9834,9,778.00,0.376619
310,1000,0.50,500,2,40,1.0407,10,746.00,0.257521
311,1000,0.50,500,2,40,0.9767,11,829.00,0.613142
312,1000,0.50,500,2,40,0.9713,12,799.00,0.404179
313,1000,0.50,500,2,40,0.9871,13,732.00,0.306374
314,1000,0.50,500,2,40,1.0212,14,741.00,0.249621
315,1000,0.50,500,2,40,1.0075,15,789.00,0.212717
316,1000,0.50,500,2,40,1.0561,16,449.00,0.138231
317,1000,0.50,500,2,40,0.9723,17,804.00,0.267357
318,1000,0.50,500,2,40,0.9624,18,787.00,0.214613
319,1000,0.50,500,2,40,1.0494,19,808.00,0.492193
320,1000,0.50,500,2,40,1.0052,20,772.00,0.777661
321,1000,0.50,500,2,40,1.0003,21,800.00,0.336881
322,1000,0.50,500,2,40,0.9804,22,807.00,0.147615
323,1000,0.50,500,2,40,1.0058,23,726.00,0.048770
324,1000,0.50,500,2,40,0.9674,24,801.00,0.184037
325,1000,0.50,500,2,40,1.0123,25,746.00,0.436337
326,1000,0.50,500,2,40,0.9783,26,782.00,0.465281
327,1000,0.50,500,2,40,0.9915,27,793.00,0.500182
328,1000,0.50,500,2,40,0.9454,28,779.00,0.486646
329,1000,0.50,500,2,40,0.9815,29,821.00,0.786343
330,1000,0.50,500,2,40,0.9870,30,777.00,0.237085
331,1000,0.50,500,2,40,0.9884,31,828.00,0.090485
332,1000,0.50,500,2,40,0.9710,32,764.00,0.636335
333,1000,0.50,500,2,40,0.9724,33,756.00,0.287784
334,1000,0.50,500,2,40,0.9390,34,757.00,0.074908
335,1000,0.50,500,2,40,1.0052,35,797.00,0.474467
336,1000,0.50,500,2,40,1.0217,36,790.00,0.591528
337,1000,0.50,500,2,40,0.9725,37,794.00,0.312288
338,1000,0.50,500,2,40,0.9718,38,776.00,0.114681
339,1000,0.50,500,2,40,0.9676,39,763.00,0.104203
340,1000,0.50,500,2,40,1.0132,40,862.00,0.107855
341,1000,0.50,500,2,40,1.0928,41,299.00,0.401002
342,1000,0.50,500,2,40,0.9957,42,815.00,0.433244
343,1000,0.50,500,2,40,1.0214,43,786.00,0.297778
344,1000,0.50,500,2,40,1.0120,44,852.00,0.421291
